Original_Name,Category,Subcategory,Second_level_Subcategory,roberta_squad,distilbert_sst
"Саморез ШСММ SWFS прессшайба сверло 4,2х19 (1000 шт)",Крепеж,Саморезы и шурупы,Саморезы по металлу,саморез шсмм swfs прессшайба сверло 42х19 (1000 шт),саморез шсмм swfs прессшайба сверло 42х19 (1000 шт)
Шуруп сантеxнический SWFS 6х50 (4 шт) пакетик,Крепеж,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 6х50 (4 шт) пакетик,шуруп сантеxнический swfs 6х50 (4 шт) пакетик
"Саморез ШСММ SWFS прессшайба 4,2х38 (9 шт) пакетик",Крепеж,Саморезы и шурупы,Саморезы по металлу,саморез шсмм swfs прессшайба 42х38 (9 шт) пакетик,саморез шсмм swfs прессшайба 42х38 (9 шт) пакетик
Талреп (крюк-кольцо) SWFS DIN1480 М10 (100 шт),Крепеж,Такелажный крепеж,Коуши,талреп (крюк-кольцо) swfs м10 (100 шт),талреп (крюк-кольцо) swfs м10 (100 шт)
Шайба плоская увеличенная SWFS DIN9021 М18 (1 шт) пакетик,Крепеж,Метрический крепеж,Шайбы,шайба плоская увеличенная swfs м18 (1 шт) пакетик,шайба плоская увеличенная swfs м18 (1 шт) пакетик
"Саморез оконный SWFS 3,9х32 (11000 шт)",Крепеж,Саморезы и шурупы,Саморезы оконные,саморез оконный swfs 39х32 (11000 шт),саморез оконный swfs 39х32 (11000 шт)
Винт SWFS DIN965 M5х50 (3 шт) пакетик,Крепеж,Метрический крепеж,Винты,винт swfs m5х50 (3 шт) пакетик,винт swfs m5х50 (3 шт) пакетик
"Саморез кровельный SWFS Premium RAL-6005 ZP 4,8х28 (250 шт)",Крепеж,Саморезы и шурупы,Кровельные саморезы,саморез кровельный swfs premium zp 48х28 (250 шт),саморез кровельный swfs premium zp 48х28 (250 шт)
"Саморез для ГВЛ SWFS 3,9х19 (20 шт) пакетик",Крепеж,Саморезы и шурупы,Саморезы для сэндвич-панелей,саморез гвл swfs 39х19 (20 шт) пакетик,саморез гвл swfs 39х19 (20 шт) пакетик
Скоба такелажная SWFS М12 (1 шт) пакетик,Крепеж,Такелажный крепеж,Скобы такелажные,скоба такелажная swfs м12 (1 шт) пакетик,скоба такелажная swfs м12 (1 шт) пакетик
"Саморез кровельный SWFS Premium RAL-7004 ZP 4,8х28 (300 шт) круглый конт-р",Крепеж,Саморезы и шурупы,Кровельные саморезы,саморез кровельный swfs premium zp 48х28 (300 шт) круглый конт-р,саморез кровельный swfs premium zp 48х28 (300 шт) круглый конт-р
"Саморез SWFS ШСГМ 3,5х41 (200 шт)",Крепеж,Саморезы и шурупы,Саморезы ГМ,саморез swfs шсгм 35х41 (200 шт),саморез swfs шсгм 35х41 (200 шт)
Болт мебельный SWFS DIN603 М5х25 (200 шт),Крепеж,Метрический крепеж,Болты,болт мебельный swfs м5х25 (200 шт),болт мебельный swfs м5х25 (200 шт)
Саморез ШУЦ SWFS PN 5х60 (500 шт),Крепеж,Саморезы и шурупы,Саморезы универсальные с полукруглыми головками,саморез шуц swfs pn 5х60 (500 шт),саморез шуц swfs pn 5х60 (500 шт)
Карабин пожарный SWFS DIN5299 М5 (100 шт),Крепеж,Такелажный крепеж,Карабины,карабин пожарный swfs м5 (100 шт),карабин пожарный swfs м5 (100 шт)
Болт анкерный с гайкой SWFS 10х40 (100 шт),Крепеж,Анкеры,Анкерные болты,болт анкерный с гайкой swfs 10х40 (100 шт),болт анкерный с гайкой swfs 10х40 (100 шт)
Саморез ШУЦ SWFS PN 4х25 (15 шт) пакетик,Крепеж,Саморезы и шурупы,Саморезы универсальные с полукруглыми головками,саморез шуц swfs pn 4х25 (15 шт) пакетик,саморез шуц swfs pn 4х25 (15 шт) пакетик
Коуш SWFS DIN6899 М10 (50 шт),Крепеж,Такелажный крепеж,Коуши,коуш swfs м10 (50 шт),коуш swfs м10 (50 шт)
"Саморез SWFS ШСГД 3,8х51 (500 шт) круглый контейнер",Крепеж,Саморезы и шурупы,Саморезы ГД,саморез swfs шсгд 38х51 (500 шт) круглый контейнер,саморез swfs шсгд 38х51 (500 шт) круглый контейнер
"Саморез SWFS ШСГМ 3,5х55 (200 шт)",Крепеж,Саморезы и шурупы,Саморезы ГМ,саморез swfs шсгм 35х55 (200 шт),саморез swfs шсгм 35х55 (200 шт)
Зажим для канатов SWFS DIN741 М6 (3 шт),Крепеж,Такелажный крепеж,Зажимы такелажные,зажим канатов swfs м6 (3 шт),зажим канатов swfs м6 (3 шт)
Шуруп сантеxнический SWFS 8х60 (2 шт) пакетик,Крепеж,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 8х60 (2 шт) пакетик,шуруп сантеxнический swfs 8х60 (2 шт) пакетик
"Саморез SWFS ШСГМ 3,5х45 (200 шт)",Крепеж,Саморезы и шурупы,Саморезы ГМ,саморез swfs шсгм 35х45 (200 шт),саморез swfs шсгм 35х45 (200 шт)
Цепь длиннозвенная SWFS DIN763 М8 на катушках (10 м),Крепеж,Такелажный крепеж,Цепи оцинкованные,цепь длиннозвенная swfs м8 на катушках (10 м),цепь длиннозвенная swfs м8 на катушках (10 м)
"Саморез оконный SWFS 3,9х19 (1000 шт)",Крепеж,Крепеж для окон,Саморезы оконные,саморез оконный swfs 39х19 (1000 шт),саморез оконный swfs 39х19 (1000 шт)
"Хомут червячный Klip 27142-1, 150-170/9 мм",Крепеж,"Хомуты, скобы, ленты монтажные",Червячные хомуты,хомут червячный klip 27142-1 150-170/9 мм,хомут червячный klip 27142-1 150-170/9 мм
"Уголок крепежный 50х50х40х1,8 мм, оцинкованный",Крепеж,Перфорированный крепеж,Уголки крепежные,уголок крепежный 50х50х40х18 мм оцинкованный,уголок крепежный 50х50х40х18 мм оцинкованный
"Саморез SWFS ШСГД ZY 4,2х65 (3500 шт)",Крепеж,Саморезы и шурупы,Саморезы ГД,саморез swfs шсгд zy 42х65 (3500 шт),саморез swfs шсгд zy 42х65 (3500 шт)
Дюбель-гвоздь SWFS 8L120 (2 шт),Крепеж,Дюбели и дюбель-гвозди,Дюбели универсальные,дюбель-гвоздь swfs 8l120 (2 шт),дюбель-гвоздь swfs 8l120 (2 шт)
"Саморез SWFS ШСГД 3,8х25 (950 шт)",Крепеж,Саморезы и шурупы,Саморезы ГД,саморез swfs шсгд 38х25 (950 шт),саморез swfs шсгд 38х25 (950 шт)
Болт анкерный с гайкой SWFS 20х200 (10 шт),Крепеж,Анкеры,Анкерные болты,болт анкерный с гайкой swfs 20х200 (10 шт),болт анкерный с гайкой swfs 20х200 (10 шт)
"Саморез SWFS ШСГМ 3,5х55 (500 шт)",Крепеж,Саморезы и шурупы,Саморезы ГМ,саморез swfs шсгм 35х55 (500 шт),саморез swfs шсгм 35х55 (500 шт)
"Саморез кровельный SWFS Premium ZP 6,3х64 (200 шт)",Крепеж,Саморезы и шурупы,Кровельные саморезы,саморез кровельный swfs premium zp 63х64 (200 шт),саморез кровельный swfs premium zp 63х64 (200 шт)
Анкер-клин SWFS 6х40 (6 шт) пакетик,Крепеж,Анкеры,Анкеры клиновые,анкер-клин swfs 6х40 (6 шт) пакетик,анкер-клин swfs 6х40 (6 шт) пакетик
"Опора бруса раскрытая 100х76х50х2 мм, оцинк.",Крепеж,"Хомуты, скобы, ленты монтажные",Специальный крепеж,опора бруса раскрытая 100х76х50х2 мм оцинк,опора бруса раскрытая 100х76х50х2 мм оцинк
Дюбель-гвоздь SWFS 6L40 (3000 шт),Крепеж,Дюбели и дюбель-гвозди,Дюбели универсальные,дюбель-гвоздь swfs 6l40 (3000 шт),дюбель-гвоздь swfs 6l40 (3000 шт)
"Грабли веерные проволочные, без черенка",Товары для дома и сада,Садовый инвентарь,Грабли и вилы садовые,грабли веерные проволочные без черенка,грабли веерные проволочные без черенка
"Батарейка солевая Smartbuy, тип 6F22/Крона, 9 В",Товары для дома и сада,"Фонари, гирлянды",Батарейки,батарейка солевая smartbuy тип 6f22/крона 9 в,батарейка солевая smartbuy тип 6f22/крона 9 в
"Пленка полиэтиленовая (40 мкм, 3х100 м / рукав 1,5 м)",Товары для дома и сада,Уход за растениями,Укрывочный материал,пленка полиэтиленовая (40 мкм 3х100 м / рукав 15 м),пленка полиэтиленовая (40 мкм 3х100 м / рукав 15 м)
"Секатор Farina 93204, с обрезиненными рукоятками, 200 мм",Товары для дома и сада,Садовый инвентарь,Инструменты для ухода за растениями,секатор farina 93204 с обрезиненными рукоятками 200 мм,секатор farina 93204 с обрезиненными рукоятками 200 мм
"Грабли витые 12 зубьев, без черенка",Товары для дома и сада,Садовый инвентарь,Грабли и вилы садовые,грабли витые 12 зубьев без черенка,грабли витые 12 зубьев без черенка
"Отвод врезка для резервуара резьбовой 3/4"" НР с заглушкой, пластик",Товары для дома и сада,Садовый инвентарь,Ёмкости пластиковые,отвод врезка резервуара резьбовой 3/4 нр с заглушкой пластик,отвод врезка резервуара резьбовой 3/4 нр с заглушкой пластик
"Парник быстрого монтажа, в сборе с агротексом, 4х1х1,2 м",Товары для дома и сада,Уход за растениями,Парники,парник быстрого монтажа в сборе с агротексом 4х1х12 м,парник быстрого монтажа в сборе с агротексом 4х1х12 м
"Лопата совковая Biber 99211, металлический черенок",Товары для дома и сада,Садовый инвентарь,Лопаты,лопата совковая biber 99211 металлический черенок,лопата совковая biber 99211 металлический черенок
"Рукомойник c ручкой для переноски, 10 л",Товары для дома и сада,Садовый инвентарь,Ёмкости пластиковые,рукомойник c ручкой переноски 10 л,рукомойник c ручкой переноски 10 л
Тачка строительная Biber 99401 60 л,Товары для дома и сада,Садовый инвентарь,"Тачки, носилки",тачка строительная biber 99401 60 л,тачка строительная biber 99401 60 л
"Шланг поливочный армированный Farina 93316 желтый 3/4"", 25 м",Товары для дома и сада,Садовый инвентарь,Шланги поливочные садовые,шланг поливочный армированный farina 93316 желтый 3/4 25 м,шланг поливочный армированный farina 93316 желтый 3/4 25 м
"Шланг поливочный армированный Farina 93320 зеленый 1"", 25 м",Товары для дома и сада,Садовый инвентарь,Шланги поливочные садовые,шланг поливочный армированный farina 93320 зеленый 1 25 м,шланг поливочный армированный farina 93320 зеленый 1 25 м
"Колесо Biber 99406 для тачки 3,5-6"" отв.16мм (99401, 99402, 99403, 99415)",Товары для дома и сада,Садовый инвентарь,"Тачки, носилки",колесо biber 99406 тачки 35-6 отв16мм (99401 99402 99403 99415),колесо biber 99406 тачки 35-6 отв16мм (99401 99402 99403 99415)
"Адаптер с хомутом Farina 93415 1/2"" (13 мм)",Товары для дома и сада,Садовый инвентарь,Шланги поливочные садовые,адаптер с хомутом farina 93415 1/2 (13 мм),адаптер с хомутом farina 93415 1/2 (13 мм)
"Колесо Biber 99409 для строит.тачки 3,5-8"" отв.16 мм (д/модели 99403)",Товары для дома и сада,Садовый инвентарь,"Тачки, носилки",колесо biber 99409 строиттачки 35-8 отв16 мм (д/модели 99403),колесо biber 99409 строиттачки 35-8 отв16 мм (д/модели 99403)
"Мешки Biber 89826 для пылесосов Hitachi, Kress, Elitech, 30-35 л (5 шт)",Товары для дома и сада,Садовая техника,Моечно-уборочная техника,мешки biber 89826 пылесосов hitachi kress elitech 30-35 л (5 шт),мешки biber 89826 пылесосов hitachi kress elitech 30-35 л (5 шт)
Канат полиамидный тросовой свивки D=14 мм (м.п.),Товары для дома и сада,"Шнуры, веревки",Канаты,канат полиамидный тросовой свивки d=14 мм (мп),канат полиамидный тросовой свивки d=14 мм (мп)
"Тройник Farina 93471 1/2""",Товары для дома и сада,Садовый инвентарь,Шланги поливочные садовые,тройник farina 93471 1/2,тройник farina 93471 1/2
"Полотно вафельное 0,45х10 м (1 шт)",Товары для дома и сада,Хозтовары для дома,"Тряпки, губки, салфетки",полотно вафельное 045х10 м (1 шт),полотно вафельное 045х10 м (1 шт)
"Распределитель двухканальный Farina 93472 3/4""",Товары для дома и сада,Садовый инвентарь,Шланги поливочные садовые,распределитель двухканальный farina 93472 3/4,распределитель двухканальный farina 93472 3/4
Лопата совковая рельсовая сталь Biber 99222,Товары для дома и сада,Садовый инвентарь,Лопаты,лопата совковая рельсовая сталь biber 99222,лопата совковая рельсовая сталь biber 99222
"Мешки Biber 89833 для пылесосов Makita VC, 20-25 л (5 шт)",Товары для дома и сада,Садовая техника,Моечно-уборочная техника,мешки biber 89833 пылесосов makita vc 20-25 л (5 шт),мешки biber 89833 пылесосов makita vc 20-25 л (5 шт)
"Тачка строительная Biber 99405, 2-колесная, усил. оцинк. 1 мм, 70 л",Товары для дома и сада,Садовый инвентарь,"Тачки, носилки",тачка строительная biber 99405 2-колесная усил оцинк 1 мм 70 л,тачка строительная biber 99405 2-колесная усил оцинк 1 мм 70 л
"Емкость ЭкоПром для воды полиэтиленовая 100 л (0,1 м3) вертикальная",Товары для дома и сада,Садовый инвентарь,Ёмкости пластиковые,емкость экопром воды полиэтиленовая 100 л (01 м3) вертикальная,емкость экопром воды полиэтиленовая 100 л (01 м3) вертикальная
"Адаптер универсальный с внутренней резьбой Farina 93412 1/2"", 3/4""",Товары для дома и сада,Садовый инвентарь,Шланги поливочные садовые,адаптер универсальный с внутренней резьбой farina 93412 1/2 3/4,адаптер универсальный с внутренней резьбой farina 93412 1/2 3/4
"Леска для триммера Farina 93361 квадрат 2,0 мм, 15 м",Товары для дома и сада,Садовая техника,Триммеры (мотокосы) садовые,леска триммера farina 93361 квадрат 20 мм 15 м,леска триммера farina 93361 квадрат 20 мм 15 м
"Лопатка посадочная Farina 93102, 290 мм",Товары для дома и сада,Садовый инвентарь,Инструменты для ухода за растениями,лопатка посадочная farina 93102 290 мм,лопатка посадочная farina 93102 290 мм
"Цепь пильная Champion PRO 16"" (40 см) шаг 3/8"" паз 1,3 мм 57 звеньев",Товары для дома и сада,Садовая техника,Цепные пилы,цепь пильная champion pro 16 (40 см) шаг 3/8 паз 13 мм 57 звеньев,цепь пильная champion pro 16 (40 см) шаг 3/8 паз 13 мм 57 звеньев
"Шланг поливочный армированный Farina 93320 зеленый 1"", 25 м",Товары для дома и сада,Садовый инвентарь,Шланги поливочные садовые,шланг поливочный армированный farina 93320 зеленый 1 25 м,шланг поливочный армированный farina 93320 зеленый 1 25 м
Швабра-щетка 4-х рядная,Товары для дома и сада,Садовый инвентарь,"Швабры, метлы, совки",швабра-щетка 4-х рядная,швабра-щетка 4-х рядная
Шпагат льняной (100 м),Товары для дома и сада,"Шнуры, веревки",Шпагаты,шпагат льняной (100 м),шпагат льняной (100 м)
Тачка строительная Biber 99403n 120 л,Товары для дома и сада,Садовый инвентарь,"Тачки, носилки",тачка строительная biber 99403n 120 л,тачка строительная biber 99403n 120 л
"Леска для триммера Farina 93351 круг 1,6 мм, 15 м",Товары для дома и сада,Садовая техника,Триммеры (мотокосы) садовые,леска триммера farina 93351 круг 16 мм 15 м,леска триммера farina 93351 круг 16 мм 15 м
"Опрыскиватель пневматический Farina 93443, 3 л",Товары для дома и сада,Садовый инвентарь,Шланги поливочные садовые,опрыскиватель пневматический farina 93443 3 л,опрыскиватель пневматический farina 93443 3 л
Шнур хозяйственно-бытовой D=3 мм (50 м) белый с сердечником,Товары для дома и сада,"Шнуры, веревки",Шнуры,шнур хозяйственно-бытовой d=3 мм (50 м) белый с сердечником,шнур хозяйственно-бытовой d=3 мм (50 м) белый с сердечником
"Салфетка для стекол и зеркал, микрофибра, 320х320 мм",Товары для дома и сада,Хозтовары для дома,"Тряпки, губки, салфетки",салфетка стекол и зеркал микрофибра 320х320 мм,салфетка стекол и зеркал микрофибра 320х320 мм
"Мешки Biber 89830 для пылесосов Makita, Hilti, Hammer, Husqvarna, 50-60 л (5 шт)",Товары для дома и сада,Садовая техника,Моечно-уборочная техника,мешки biber 89830 пылесосов makita hilti hammer husqvarna 50-60 л (5 шт),мешки biber 89830 пылесосов makita hilti hammer husqvarna 50-60 л (5 шт)
"Мешки Einhell TH-VC (TC-VC) для пылесосов, 30 л (5 шт)",Товары для дома и сада,Садовая техника,Моечно-уборочная техника,мешки einhell th-vc (tc-vc) пылесосов 30 л (5 шт),мешки einhell th-vc (tc-vc) пылесосов 30 л (5 шт)
"Черенок для швабры деревянный гладкий d=22 мм (1,2 м)",Товары для дома и сада,Садовый инвентарь,"Швабры, метлы, совки",черенок швабры деревянный гладкий d=22 мм (12 м),черенок швабры деревянный гладкий d=22 мм (12 м)
"Пленка полиэтиленовая (150 мкм, 3х100 м / рукав 1,5 м) (i)",Товары для дома и сада,Уход за растениями,Укрывочный материал,пленка полиэтиленовая (150 мкм 3х100 м / рукав 15 м) (i),пленка полиэтиленовая (150 мкм 3х100 м / рукав 15 м) (i)
"Адаптер с наружной резьбой Farina 93407 1"", 19 мм (80/240)",Товары для дома и сада,Садовый инвентарь,Шланги поливочные садовые,адаптер с наружной резьбой farina 93407 1 19 мм (80/240),адаптер с наружной резьбой farina 93407 1 19 мм (80/240)
"Муфта для шланга Farina 93406 3/4"", 19 мм",Товары для дома и сада,Садовый инвентарь,Шланги поливочные садовые,муфта шланга farina 93406 3/4 19 мм,муфта шланга farina 93406 3/4 19 мм
"Батарейка литиевая Smartbuy, тип CR2025, 3 В",Товары для дома и сада,"Фонари, гирлянды",Батарейки,батарейка литиевая smartbuy тип 3 в,батарейка литиевая smartbuy тип 3 в
"Цепь пильная Champion PRO 16"" (40 см) шаг 3/8"" паз 1,3 мм 56 звеньев",Товары для дома и сада,Садовая техника,Цепные пилы,цепь пильная champion pro 16 (40 см) шаг 3/8 паз 13 мм 56 звеньев,цепь пильная champion pro 16 (40 см) шаг 3/8 паз 13 мм 56 звеньев
"Удлинитель телескопический Farina 93117, алюминиевый",Товары для дома и сада,Садовый инвентарь,Инструменты для ухода за растениями,удлинитель телескопический farina 93117 алюминиевый,удлинитель телескопический farina 93117 алюминиевый
Грабли веерные проволочные с черенком,Товары для дома и сада,Садовый инвентарь,Грабли и вилы садовые,грабли веерные проволочные с черенком,грабли веерные проволочные с черенком
"Полотно холстопрошивное нетканное ХПП 0,75х5 м",Товары для дома и сада,Хозтовары для дома,"Тряпки, губки, салфетки",полотно холстопрошивное нетканное хпп 075х5 м,полотно холстопрошивное нетканное хпп 075х5 м
Веревка полиамидная плетеная D=8 мм (100 м) 24-пряд.,Товары для дома и сада,"Шнуры, веревки",Веревки,веревка полиамидная плетеная d=8 мм (100 м) 24-пряд,веревка полиамидная плетеная d=8 мм (100 м) 24-пряд
"Шланг поливочный армированный Farina 93302 зеленый 1/2"", 25 м",Товары для дома и сада,Садовый инвентарь,Шланги поливочные садовые,шланг поливочный армированный farina 93302 зеленый 1/2 25 м,шланг поливочный армированный farina 93302 зеленый 1/2 25 м
"Смазка универсальная проникающая Kudo KR-943 (0,33 л)",Товары для дома и сада,Автотовары,Автохимия для автомобиля,смазка универсальная проникающая kudo (033 л),смазка универсальная проникающая kudo (033 л)
